contract,numOrgs,numPeers,numVerifiers,controller,sendRate,maxLatency,minLatency,avgLatency,tps
SC_Token_Collection,2,3,2,fix-rate#10,145.8,0.21,0.07,0.13,138.7
SC_Token_Collection,2,3,3,fix-rate#10,126.4,0.44,0.08,0.23,116.8
SC_Token_Collection,2,3,4,fix-rate#10,118.0,0.36,0.09,0.24,110.5
SC_Token_Collection,2,3,5,fix-rate#10,115.1,0.41,0.11,0.25,104.6
SC_Token_Collection,2,3,6,fix-rate#10,111.8,0.38,0.11,0.22,101.2
SC_Token_Collection,4,3,2,fix-rate#110,85.7,0.45,0.13,0.26,75.6
SC_Token_Collection,4,3,3,fix-rate#110,76.3,0.54,0.17,0.34,68.8
SC_Token_Collection,4,3,4,fix-rate#110,70.4,0.54,0.15,0.36,66.6
SC_Token_Collection,4,3,5,fix-rate#110,83.6,0.98,0.20,0.47,64.5
SC_Token_Collection,4,3,6,fix-rate#110,76.4,0.77,0.18,0.55,62.6
SC_Token_Collection,6,3,2,fix-rate#10,55.0,0.63,0.23,0.43,49.2
SC_Token_Collection,6,3,3,fix-rate#10,63.1,0.88,0.23,0.55,47.0
SC_Token_Collection,6,3,4,fix-rate#10,66.0,1.08,0.34,0.61,45.1
SC_Token_Collection,6,3,5,fix-rate#10,50.0,0.83,0.33,0.70,41.6
SC_Token_Collection,6,3,6,fix-rate#10,43.5,1.79,0.38,1.00,38.4
SC_Token_Collection,8,3,2,fix-rate#10,56.8,1.89,0.48,0.63,10.6
SC_Token_Collection,8,3,3,fix-rate#10,11.1,1.08,0.18,1.18,9.3
SC_Token_Collection,8,3,4,fix-rate#10,4.5,2.21,0.21,1.21,8.1
SC_Token_Collection,8,3,5,fix-rate#10,4.5,4.86,0.65,1.54,6.4
SC_Token_Collection,8,3,6,fix-rate#10,4.5,4.86,0.65,1.94,4.3
SC_Token_Collection,10,3,2,fix-rate#10,12.5,2.23,1.83,2.03,2.2
SC_Token_Collection,10,3,3,fix-rate#10,2.7,3.33,1,2.16,1.1
SC_Token_Collection,10,3,4,fix-rate#10,2.7,2.16,2.16,3.19,0.7
SC_Token_Collection,10,3,5,fix-rate#10,4,6.81,6.81,4.81,0.4
SC_Token_Collection,10,3,6,fix-rate#10,2.7,11.19,11.19,11.19,0.3
