,contract,numOrgs,numPeers,numVerifiers,rawnumTrans,numTrans,latency,numTransTitle,latency-infer,latencyM,latency-inferM
0,SC_Verification#partial,10,3,2,2500,115750,32.546,"115,750 (1 week)",1506.8798,0.5424333333333333,25.114663333333333
1,SC_Verification#partial,10,3,3,2500,115750,48.529,"115,750 (1 week)",2246.8927000000003,0.8088166666666667,37.44821166666667
2,SC_Verification#partial,10,3,4,2500,115750,64.614,"115,750 (1 week)",2991.6282000000006,1.0769,49.86047000000001
3,SC_Verification#partial,10,3,5,2500,115750,68.874,"115,750 (1 week)",3188.8661999999995,1.1479,53.147769999999994
4,SC_Verification#partial,10,3,6,2500,115750,76.783,"115,750 (1 week)",3555.0529,1.2797166666666666,59.25088166666667
5,SC_Verification#partial,10,3,2,5000,231500,94.609,"231,500 (2 weeks)",4380.396699999999,1.5768166666666665,73.00661166666666
6,SC_Verification#partial,10,3,3,5000,231500,102.826,"231,500 (2 weeks)",4760.8438,1.7137666666666667,79.34739666666665
7,SC_Verification#partial,10,3,4,5000,231500,128.431,"231,500 (2 weeks)",5946.355300000001,2.140516666666667,99.10592166666669
8,SC_Verification#partial,10,3,5,5000,231500,138.232,"231,500 (2 weeks)",6400.1416,2.3038666666666665,106.66902666666667
9,SC_Verification#partial,10,3,6,5000,231500,147.774,"231,500 (2 weeks)",6841.9362,2.4629,114.03227
10,SC_Verification#partial,10,3,2,10000,463000,195.354,"463,000 (4 weeks)",9044.8902,3.2559,150.74817
11,SC_Verification#partial,10,3,3,10000,463000,204.515,"463,000 (4 weeks)",9469.044499999998,3.408583333333333,157.8174083333333
12,SC_Verification#partial,10,3,4,10000,463000,254.296,"463,000 (4 weeks)",11773.9048,4.238266666666666,196.23174666666668
13,SC_Verification#partial,10,3,5,10000,463000,289.541,"463,000 (4 weeks)",13405.7483,4.825683333333333,223.42913833333333
14,SC_Verification#partial,10,3,6,10000,463000,324.586,"463,000 (4 weeks)",15028.331800000002,5.409766666666667,250.4721966666667
15,SC_Verification#full,10,3,2,2500,115750,86.043,"115,750 (1 week)",3983.7909000000004,1.43405,66.39651500000001
16,SC_Verification#full,10,3,3,2500,115750,101.972,"115,750 (1 week)",4721.3036,1.6995333333333333,78.68839333333334
17,SC_Verification#full,10,3,4,2500,115750,127.976,"115,750 (1 week)",5925.288799999999,2.1329333333333333,98.75481333333332
18,SC_Verification#full,10,3,5,2500,115750,135.326,"115,750 (1 week)",6265.5938,2.2554333333333334,104.42656333333333
19,SC_Verification#full,10,3,6,2500,115750,269.527,"115,750 (1 week)",12479.1001,4.492116666666666,207.98500166666665
20,SC_Verification#full,10,3,2,5000,231500,195.601,"231,500 (2 weeks)",9056.3263,3.2600166666666666,150.93877166666667
21,SC_Verification#full,10,3,3,5000,231500,205.673,"231,500 (2 weeks)",9522.6599,3.4278833333333334,158.71099833333335
22,SC_Verification#full,10,3,4,5000,231500,254.684,"231,500 (2 weeks)",11791.8692,4.2447333333333335,196.53115333333332
23,SC_Verification#full,10,3,5,5000,231500,297.518,"231,500 (2 weeks)",13775.0834,4.958633333333333,229.58472333333333
24,SC_Verification#full,10,3,6,5000,231500,327.921,"231,500 (2 weeks)",15182.742299999998,5.46535,253.04570499999997
25,SC_Verification#full,10,3,2,10000,463000,407.087,"463,000 (4 weeks)",18848.1281,6.784783333333333,314.13546833333334
26,SC_Verification#full,10,3,3,10000,463000,444.416,"463,000 (4 weeks)",20576.4608,7.406933333333333,342.94101333333333
27,SC_Verification#full,10,3,4,10000,463000,508.205,"463,000 (4 weeks)",23529.891499999998,8.470083333333333,392.1648583333333
28,SC_Verification#full,10,3,5,10000,463000,582.896,"463,000 (4 weeks)",26988.084799999997,9.714933333333333,449.8014133333333
29,SC_Verification#full,10,3,6,10000,463000,650.487,"463,000 (4 weeks)",30117.5481,10.84145,501.959135
