,contract,numOrgs,numPeers,numVerifiers,controller,sendRate,maxLatency,minLatency,avgLatency,tps,short_contract
0,SC_Witness_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,281.7,SC_WTGen
1,SC_Witness_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,275.6,SC_WTGen
2,SC_Witness_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,265.4,SC_WTGen
3,SC_Witness_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,254.0,SC_WTGen
4,SC_Witness_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,238.0,SC_WTGen
5,SC_Campaign_Token_Generation,10,3,2,fix-rate#700,281.9,0.07,0.01,0.01,283.7,SC_CTGen
6,SC_Campaign_Token_Generation,10,3,3,fix-rate#700,275.8,0.05,0.01,0.02,277.6,SC_CTGen
7,SC_Campaign_Token_Generation,10,3,4,fix-rate#700,265.6,0.06,0.01,0.02,266.4,SC_CTGen
8,SC_Campaign_Token_Generation,10,3,5,fix-rate#700,254.5,0.09,0.02,0.03,255.0,SC_CTGen
9,SC_Campaign_Token_Generation,10,3,6,fix-rate#700,238.7,0.16,0.02,0.05,240.0,SC_CTGen
10,SC_Initialization,10,3,2,fix-rate#150-200,86.5,11.93,1.01,7.49,30.8,SC_Init
11,SC_Initialization,10,3,3,fix-rate#150-200,77.1,14.57,0.53,10.31,27.0,SC_Init
12,SC_Initialization,10,3,4,fix-rate#150-200,79.6,21.03,0.48,14.63,25.3,SC_Init
13,SC_Initialization,10,3,5,fix-rate#150-200,70.4,29.67,0.7,17.76,21.1,SC_Init
14,SC_Initialization,10,3,6,fix-rate#150-200,77.3,21.55,0.56,19.2,19.3,SC_Init
